ISO3_origen,ISO3_destino,anio,cantidad
DZA,SVK,1960,1
DZA,SVN,1960,0
DZA,SLB,1960,0
DZA,SOM,1960,0
DZA,ZAF,1960,25
DZA,ESP,1960,0
DZA,LKA,1960,0
DZA,KNA,1960,0
DZA,LCA,1960,1
DZA,VCT,1960,0
DZA,SDN,1960,764
DZA,SUR,1960,0
DZA,SWZ,1960,1
DZA,SWE,1960,6
DZA,CHE,1960,6568
DZA,SYR,1960,23
DZA,TWN,1960,0
DZA,TJK,1960,0
DZA,TZA,1960,0
DZA,THA,1960,7
DZA,TLS,1960,0
DZA,TGO,1960,3
DZA,TKL,1960,0
DZA,TON,1960,0
DZA,TTO,1960,21
DZA,TUN,1960,32926
DZA,TUR,1960,602
DZA,TKM,1960,0
DZA,TCA,1960,0
DZA,TUV,1960,0
DZA,UGA,1960,2
DZA,UKR,1960,0
DZA,ARE,1960,0
DZA,GBR,1960,8385
DZA,USA,1960,322
DZA,URY,1960,5
DZA,UZB,1960,0
DZA,VUT,1960,0
DZA,VEN,1960,15
DZA,VNM,1960,0
DZA,VIR,1960,0
DZA,VGB,1960,0
DZA,WLF,1960,0
DZA,PSE,1960,3293
DZA,YEM,1960,1136
DZA,ZMB,1960,1
DZA,ZWE,1960,604
ASM,AFG,1960,0
ASM,ALB,1960,0
ASM,DZA,1960,0
ASM,ASM,1960,0
ASM,AND,1960,0
ASM,AGO,1960,0
ASM,AIA,1960,0
ASM,ATG,1960,0
ASM,ARG,1960,0
ASM,ARM,1960,0
ASM,ABW,1960,0
ASM,AUS,1960,0
ASM,AUT,1960,1
ASM,AZE,1960,0
ASM,BHS,1960,0
ASM,BHR,1960,0
ASM,BGD,1960,0
ASM,BRB,1960,0
ASM,BLR,1960,0
ASM,BEL,1960,2
ASM,BLZ,1960,0
ASM,BEN,1960,0
ASM,BMU,1960,0
ASM,BTN,1960,0
ASM,BOL,1960,0
ASM,BIH,1960,0
ASM,BWA,1960,0
ASM,BRA,1960,0
ASM,BRN,1960,0
ASM,BGR,1960,0
ASM,BFA,1960,0
ASM,BDI,1960,0
ASM,KHM,1960,0
ASM,CMR,1960,0
ASM,CAN,1960,180
ASM,CPV,1960,0
ASM,CYM,1960,0
ASM,CAF,1960,0
ASM,TCD,1960,0
ASM,CHI,1960,0
ASM,CHL,1960,0
ASM,CHN,1960,0
ASM,COL,1960,0
ASM,COM,1960,0
